,Country,Region,Year,Month,seces_word,self-det_word,tot_words,Tax_Auto,Referendum,Ruling_cat,Mas_speech,Budget ,Year
,Spain,Catalonia,1999,Jan,0,0,0,0,0,0,0,11.48797,1999
,Spain,Catalonia,1999,Feb,0,0,0,0,0,0,0,11.48797,1999
,Spain,Catalonia,1999,Mar,1,1,2,0,0,0,0,11.48797,1999
,Spain,Catalonia,1999,Apr,0,1,1,0,0,0,0,11.48797,1999
,Spain,Catalonia,1999,May,0,0,0,0,0,0,0,11.48797,1999
,Spain,Catalonia,1999,Jun,0,1,1,0,0,0,0,11.48797,1999
,Spain,Catalonia,1999,Jul,0,0,0,0,0,0,0,11.48797,1999
,Spain,Catalonia,1999,Aug,0,0,0,0,0,0,0,11.48797,1999
,Spain,Catalonia,1999,Sep,0,0,0,0,0,0,0,11.48797,1999
,Spain,Catalonia,1999,Oct,0,0,0,0,0,0,0,11.48797,1999
,Spain,Catalonia,1999,Nov,0,1,1,0,0,0,0,11.48797,1999
,Spain,Catalonia,1999,Dec,1,0,1,0,0,0,0,11.48797,1999
,Spain,Catalonia,2000,Jan,0,0,0,0,0,0,0,12.48007,2000
,Spain,Catalonia,2000,Feb,0,0,0,0,0,0,0,12.48007,2000
,Spain,Catalonia,2000,Mar,0,0,0,0,0,0,0,12.48007,2000
,Spain,Catalonia,2000,Apr,0,1,1,0,0,0,0,12.48007,2000
,Spain,Catalonia,2000,May,0,0,0,0,0,0,0,12.48007,2000
,Spain,Catalonia,2000,Jun,0,0,0,0,0,0,0,12.48007,2000
,Spain,Catalonia,2000,Jul,0,0,0,0,0,0,0,12.48007,2000
,Spain,Catalonia,2000,Aug,0,0,0,0,0,0,0,12.48007,2000
,Spain,Catalonia,2000,Sep,0,0,0,0,0,0,0,12.48007,2000
,Spain,Catalonia,2000,Oct,0,3,3,0,0,0,0,12.48007,2000
,Spain,Catalonia,2000,Nov,0,0,0,0,0,0,0,12.48007,2000
,Spain,Catalonia,2000,Dec,0,3,3,0,0,0,0,12.48007,2000
,Spain,Catalonia,2001,Jan,0,0,0,0,0,0,0,13.39521,2001
,Spain,Catalonia,2001,Feb,0,1,1,0,0,0,0,13.39521,2001
,Spain,Catalonia,2001,Mar,0,0,0,0,0,0,0,13.39521,2001
,Spain,Catalonia,2001,Apr,0,0,0,0,0,0,0,13.39521,2001
,Spain,Catalonia,2001,May,0,0,0,0,0,0,0,13.39521,2001
,Spain,Catalonia,2001,Jun,0,0,0,0,0,0,0,13.39521,2001
,Spain,Catalonia,2001,Jul,0,0,0,0,0,0,0,13.39521,2001
,Spain,Catalonia,2001,Aug,0,0,0,0,0,0,0,13.39521,2001
,Spain,Catalonia,2001,Sep,0,0,0,0,0,0,0,13.39521,2001
,Spain,Catalonia,2001,Oct,0,8,8,0,0,0,0,13.39521,2001
,Spain,Catalonia,2001,Nov,0,0,0,0,0,0,0,13.39521,2001
,Spain,Catalonia,2001,Dec,0,0,0,0,0,0,0,13.39521,2001
,Spain,Catalonia,2002,Jan,0,0,0,0,0,0,0,14.84203,2002
